OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
1/1/2016,10/17/2002,SO48797,385,14335,1,1,1
1/1/2016,9/30/2002,SO48802,383,24923,9,1,1
1/1/2016,11/29/2002,SO48801,326,15493,1,1,1
1/1/2016,11/16/2002,SO48799,352,26708,4,1,1
1/1/2016,12/16/2002,SO48798,369,23332,9,1,1
1/1/2016,12/2/2002,SO48800,342,15491,5,1,1
1/1/2016,10/19/2002,SO48795,375,16538,8,1,1
1/1/2016,11/23/2002,SO48796,375,15094,7,1,1
1/2/2016,12/1/2002,SO48804,356,12276,8,1,1
1/2/2016,9/12/2002,SO48814,360,13647,9,1,1
1/2/2016,10/30/2002,SO48812,356,13630,9,1,1
1/2/2016,9/15/2002,SO48803,383,19416,10,1,1
1/2/2016,11/23/2002,SO48809,369,23411,9,1,1
1/2/2016,10/27/2002,SO48807,324,20892,10,1,1
1/2/2016,10/10/2002,SO48805,330,19318,7,1,1
1/2/2016,12/11/2002,SO48808,368,16552,8,1,1
1/2/2016,10/18/2002,SO48813,362,13631,9,1,1
1/2/2016,10/22/2002,SO48810,369,23415,9,1,1
1/2/2016,11/30/2002,SO48806,340,20885,10,1,1
1/2/2016,10/6/2002,SO48811,334,15517,4,1,1
1/3/2016,9/6/2002,SO48819,352,13622,9,1,1
1/3/2016,10/29/2002,SO48817,373,26049,6,1,1
1/3/2016,12/4/2002,SO48820,358,13958,9,1,1
1/3/2016,9/10/2002,SO48815,377,17700,10,1,1
1/3/2016,10/11/2002,SO48818,332,15497,4,1,1
